Monthly liquidity 2026: ETH_FDUSD vs ETH_USDT (raw 1m store; counts and volumes only)
  ETH_FDUSD: 2026-01-30 00:00:00+00:00 .. 2026-09-19 23:59:00+00:00    ETH_USDT: 2026-01-30 00:00:00+00:00 .. 2026-09-19 23:59:00+00:00

month      days |   trades/day ETH_FDUSD    trades/day ETH_USDT   ratio |      quote/day ETH_FDUSD       quote/day ETH_USDT   ratio | zero-trade ETH_FDUSD zero-trade ETH_USDT
2026-01     2.0 |              1,112,710              9,983,464   0.111 |              997,546,822            2,460,602,785   0.405 |              0.0000              0.0000
2026-02    28.0 |                323,024              6,695,102   0.048 |              114,374,638            1,420,567,160   0.081 |              0.0042              0.0000
2026-03    31.0 |                128,986              4,974,347   0.026 |               36,462,459              855,081,521   0.043 |              0.0305              0.0000
2026-04    30.0 |                 76,434              3,219,868   0.024 |               20,869,962              643,469,076   0.032 |              0.0814              0.0000
2026-05    31.0 |                 47,619              2,386,859   0.020 |               15,017,891              582,463,619   0.026 |              0.1386              0.0000
2026-06    30.0 |                 59,789              4,048,669   0.015 |               15,669,527              612,058,314   0.026 |              0.0656              0.0000
2026-07    31.0 |                 41,911              2,264,513   0.019 |               11,095,878              448,106,390   0.025 |              0.1408              0.0000
2026-08    31.0 |                 52,328              2,376,101   0.022 |               14,765,895              579,687,215   0.025 |              0.2130              0.0000
2026-09    19.0 |                 71,499              2,495,866   0.029 |               25,931,686              770,245,948   0.034 |              0.0843              0.0000

Wrote user_data/analysis/results/liquidity_monthly_2026.csv and .json
