lag_bars,lag_minutes,n,beta,correlation,t_stat_hac,p_value_hac,significant_at_5pct,family_size,p_bonferroni,p_holm,family_size_all_pairs,p_bonferroni_all_pairs,p_holm_all_pairs
1,1.0,67102,-0.008055732678551692,-0.016710063956559114,-1.5402047149970317,0.12351046096969676,False,15,1.0,1.0,66,1.0,1.0
2,2.0,67102,0.0030010427383766348,0.0063603715303193155,0.6201892037696114,0.5351332285520491,False,15,1.0,1.0,66,1.0,1.0
3,3.0,67102,0.00460385719467375,0.010144580038868546,0.9453571988372467,0.3444765457128385,False,15,1.0,1.0,66,1.0,1.0
4,4.0,67102,-0.002719141898326916,-0.006171865376156909,-0.5428367444812796,0.5872422115495615,False,15,1.0,1.0,66,1.0,1.0
5,5.0,67102,0.0017765587555191658,0.004191858367321191,0.39720745508845556,0.6912144850978847,False,15,1.0,1.0,66,1.0,1.0
6,6.0,67101,-0.008792916734862507,-0.01823922597909032,-2.320325003702232,0.020323302499388733,True,15,0.304849537490831,0.304849537490831,66,1.0,1.0
7,7.0,67101,0.0005234910854631394,0.0011094955269652675,0.1323974598705073,0.8946699237208648,False,15,1.0,1.0,66,1.0,1.0
8,8.0,67101,-0.0019530956873156256,-0.004303644181194014,-0.5855807471889249,0.5581572894724581,False,15,1.0,1.0,66,1.0,1.0
9,9.0,67101,-0.0008256690036422983,-0.001874098814468189,-0.22613097489077597,0.8210995539967347,False,15,1.0,1.0,66,1.0,1.0
10,10.0,67101,0.008398614921554783,0.019816851712932133,2.0104808407477583,0.04438032200387936,True,15,0.6657048300581905,0.621324508054311,66,1.0,1.0
11,11.0,67100,0.0028728443117665603,0.005959172446179136,0.7571852699411035,0.4489388738097979,False,15,1.0,1.0,66,1.0,1.0
12,12.0,67100,0.00036392777263149324,0.0007713143646671416,0.08724276790157207,0.9304785450629033,False,15,1.0,1.0,66,1.0,1.0
13,13.0,67100,-0.0013862225366289992,-0.003054568708686934,-0.3569824797470023,0.7211049218915739,False,15,1.0,1.0,66,1.0,1.0
14,14.0,67100,-0.0007075069826447896,-0.001605895184522112,-0.20115776227478507,0.8405752171899015,False,15,1.0,1.0,66,1.0,1.0
15,15.0,67100,0.0008153854503685647,0.0019239344870129787,0.2745641443036496,0.7836511166343697,False,15,1.0,1.0,66,1.0,1.0
