lag_bars,lag_minutes,n,beta,correlation,t_stat_hac,p_value_hac,significant_at_5pct,family_size,p_bonferroni,p_holm,family_size_all_pairs,p_bonferroni_all_pairs,p_holm_all_pairs
1,5.0,5590,0.007269390645748943,0.022838238882525636,0.7497431828369827,0.4534093941711529,False,36,1.0,1.0,66,1.0,1.0
2,10.0,5590,0.004095575717062908,0.01212173387663044,0.4587436729683052,0.6464182480319756,False,36,1.0,1.0,66,1.0,1.0
3,15.0,5590,-0.002057662162007032,-0.006607723198501048,-0.24503302407235006,0.8064308611269506,False,36,1.0,1.0,66,1.0,1.0
4,20.0,5590,0.007458112178567171,0.0245096405371425,1.2218706938363075,0.22175652949079783,False,36,1.0,1.0,66,1.0,1.0
5,25.0,5590,-0.007798076156817339,-0.025427660976712795,-0.9786866661624998,0.3277348223527775,False,36,1.0,1.0,66,1.0,1.0
6,30.0,5590,0.0043907541589679935,0.015762712772822093,0.6567320239557658,0.5113532393134359,False,36,1.0,1.0,66,1.0,1.0
7,35.0,5590,0.004607784729492175,0.013697668755317267,0.6320910578385172,0.5273273780298932,False,36,1.0,1.0,66,1.0,1.0
8,40.0,5590,0.0010387261467230703,0.0033933309416245773,0.19129791117138162,0.8482921975165024,False,36,1.0,1.0,66,1.0,1.0
9,45.0,5590,0.008797088049570932,0.03223194431592914,1.2363952908647953,0.21631166570550864,False,36,1.0,1.0,66,1.0,1.0
10,50.0,5590,-0.001692124620756588,-0.0058771916205612425,-0.3171422676085223,0.7511356540578237,False,36,1.0,1.0,66,1.0,1.0
11,55.0,5590,-0.015223879467976516,-0.05173515325760664,-2.1109257259108962,0.034778696461350074,True,36,1.0,1.0,66,1.0,1.0
12,60.0,5590,0.0009997211781387605,0.004494056735630015,0.2358101907379359,0.8135799600700329,False,36,1.0,1.0,66,1.0,1.0
13,65.0,5589,-0.013343862547406595,-0.041927334345336166,-1.8730691324080446,0.06105883917562255,False,36,1.0,1.0,66,1.0,1.0
14,70.0,5589,0.00025799757221168525,0.0007638169715205286,0.03632123841166594,0.9710262153078385,False,36,1.0,1.0,66,1.0,1.0
15,75.0,5589,0.003586261133223586,0.011516498920098872,0.6536555991810158,0.5133337150607462,False,36,1.0,1.0,66,1.0,1.0
16,80.0,5589,0.002137415209674324,0.007024881341698659,0.31609646558307647,0.7519292893716075,False,36,1.0,1.0,66,1.0,1.0
17,85.0,5589,-0.0063111429450688535,-0.02059676245424602,-0.8529826351800062,0.3936689339594739,False,36,1.0,1.0,66,1.0,1.0
18,90.0,5589,-0.0021230808129688943,-0.00762354190204386,-0.4155730989675846,0.6777224148396596,False,36,1.0,1.0,66,1.0,1.0
19,95.0,5589,-0.0007359244103765875,-0.002187774478053853,-0.08561136342688073,0.9317753649193246,False,36,1.0,1.0,66,1.0,1.0
20,100.0,5589,0.007918373238378273,0.0258845762049998,1.4201967143040233,0.15555041995826657,False,36,1.0,1.0,66,1.0,1.0
21,105.0,5589,-0.001778478007113518,-0.006517143506538436,-0.35958004041962915,0.7191612119780879,False,36,1.0,1.0,66,1.0,1.0
22,110.0,5589,0.00220794919809381,0.007670548053284257,0.47524419846210525,0.6346129273220749,False,36,1.0,1.0,66,1.0,1.0
23,115.0,5589,-0.011492268417274507,-0.039054071773970446,-2.218304831344584,0.026534054988076306,True,36,0.9552259795707471,0.9286919245826707,66,1.0,1.0
24,120.0,5589,0.005560074982326954,0.025000252595847098,1.3892809083813535,0.16474734701470395,False,36,1.0,1.0,66,1.0,1.0
25,125.0,5588,-0.021240955428341757,-0.06674005896407809,-3.1077314517812096,0.0018852929585245004,True,36,0.06787054650688201,0.06787054650688201,66,0.12442933526261703,0.12442933526261703
26,130.0,5588,0.0023776705162234365,0.007039437887065052,0.4039378562123445,0.6862584176114339,False,36,1.0,1.0,66,1.0,1.0
27,135.0,5588,0.0012408371882366113,0.003984670485120142,0.17701488289284775,0.8594966993271227,False,36,1.0,1.0,66,1.0,1.0
28,140.0,5588,0.00026700740835977404,0.0008775446234271556,0.04004334510833332,0.9680585695880313,False,36,1.0,1.0,66,1.0,1.0
29,145.0,5588,0.0009137026139413528,0.002981948639474467,0.17637636820486147,0.8599982690557926,False,36,1.0,1.0,66,1.0,1.0
30,150.0,5588,0.0019163772276149288,0.006881385141228477,0.387101225402487,0.6986812704628778,False,36,1.0,1.0,66,1.0,1.0
31,155.0,5588,0.011567967173703026,0.03438910359169192,1.852943928781751,0.0638903958382448,False,36,1.0,1.0,66,1.0,1.0
32,160.0,5588,0.00888794171546874,0.0290539794903139,1.894766270670577,0.05812337360149722,False,36,1.0,1.0,66,1.0,1.0
33,165.0,5588,-0.001067393336909425,-0.003911356417651098,-0.17755728529979922,0.8590706727926235,False,36,1.0,1.0,66,1.0,1.0
34,170.0,5588,0.005330575983377179,0.018518567186524244,0.9909192454438838,0.3217250140373876,False,36,1.0,1.0,66,1.0,1.0
35,175.0,5588,-0.00011710498658722059,-0.0003979546090901417,-0.025982439319169135,0.9792713451162429,False,36,1.0,1.0,66,1.0,1.0
36,180.0,5588,-0.0055667387887733295,-0.025029877617823097,-1.5125110557203563,0.13040390225679216,False,36,1.0,1.0,66,1.0,1.0
