lag,n,beta,correlation,t_stat_hac,p_value_hac,significant_at_5pct
-10,67070,-0.020811382456094863,-0.006234022625472707,-1.149042560490942,0.25053843143051757,False
-9,67071,-0.02443256585819323,-0.007318871244738275,-1.35862720245866,0.17426475074963088,False
-8,67072,-0.014610860283405023,-0.00437678413863714,-0.796789357400018,0.42557337705650955,False
-7,67073,-0.020997469854393852,-0.006290286353464408,-1.120906331311984,0.26232773561879963,False
-6,67074,-0.016035314696940122,-0.004803774144447046,-0.8573352539850109,0.3912596304317504,False
-5,67075,-0.009986543225551996,-0.002991763829645778,-0.5034526706545173,0.614646048298398,False
-4,67076,-0.011365461541571961,-0.0034051107371850593,-0.5325732659275932,0.5943290123630779,False
-3,67077,-0.006425763328760532,-0.0019251861084334872,-0.2916935295433196,0.7705209568666223,False
-2,67078,-0.011665395907962003,-0.00349500288747596,-0.5420984985834058,0.5877506529837464,False
-1,67079,-0.008102162871347292,-0.002427515348622027,-0.3738454531733267,0.7085193006058279,False
0,67080,0.011033189875100104,0.0033057272226954706,0.47962872759044434,0.6314914153885607,False
1,67080,0.05007047070503706,0.015001944206379068,2.0843822376892485,0.03712541221072648,True
2,67080,0.1377043522742707,0.0412616931782613,5.118269438699141,3.083518835175321e-07,True
3,67080,0.2271644556930191,0.06806778176260442,8.179080119456303,2.860188939144691e-16,True
4,67080,0.2850731815944908,0.08547866338361979,9.862333580227792,6.062375853764492e-23,True
5,67080,0.35990386172512606,0.10794035570606283,11.88959205173327,1.340597719669121e-32,True
6,67080,0.4595677151898633,0.13783099670040663,14.50594673240367,1.1109404059266777e-47,True
7,67080,0.5252269948769388,0.15752327937907493,16.26287205694355,1.8104849591416616e-59,True
8,67080,0.6044822293439849,0.18129399146934427,18.211126067152126,4.211941097386902e-74,True
9,67080,0.6797130674873958,0.2038568962366875,20.764855607124776,8.99973860883367e-96,True
10,67080,0.750646101933784,0.22512967876772497,22.619406122812485,2.7921285224942296e-113,True
