lag,n,correlation,p_value,significant_at_5pct
-10,5590,-0.05173515325760664,0.00010862855622617573,True
-9,5590,-0.0058771916205612425,0.6604419876876166,False
-8,5590,0.032231944315929136,0.015950273592048037,True
-7,5590,0.0033933309416245773,0.7997739281412835,False
-6,5590,0.013697668755317267,0.3058762555538943,False
-5,5590,0.015762712772822093,0.2386766033811556,False
-4,5590,-0.0254276609767128,0.05729785172141488,False
-3,5590,0.0245096405371425,0.06689625740504024,False
-2,5590,-0.006607723198501049,0.6213699996488362,False
-1,5590,0.01212173387663044,0.3648837832696774,False
0,5590,0.022838238882525633,0.08775343057382834,False
1,5590,0.1935336608806634,0.0,True
2,5590,0.26889102356700906,0.0,True
3,5590,0.32888257497207096,0.0,True
4,5590,0.25979688254229133,0.0,True
5,5590,0.26702633000525944,0.0,True
6,5590,0.3334900067448483,0.0,True
7,5590,0.270190642077982,0.0,True
8,5590,0.25352692477273964,0.0,True
9,5590,0.2913701936559563,0.0,True
10,5590,0.23924950909160878,0.0,True
