gap_start,gap_end,n_missing,pair,timeframe
2017-09-06 16:05:00+00:00,2017-09-06 22:55:00+00:00,83,BTC_USDT,5m
2017-12-04 06:05:00+00:00,2017-12-04 06:40:00+00:00,8,BTC_USDT,5m
2017-12-18 10:05:00+00:00,2017-12-18 10:05:00+00:00,1,BTC_USDT,5m
2017-12-18 12:30:00+00:00,2017-12-18 13:25:00+00:00,12,BTC_USDT,5m
2018-01-04 03:05:00+00:00,2018-01-04 05:00:00+00:00,24,BTC_USDT,5m
2018-02-08 00:30:00+00:00,2018-02-09 09:55:00+00:00,402,BTC_USDT,5m
2018-02-10 06:00:00+00:00,2018-02-10 06:10:00+00:00,3,BTC_USDT,5m
2018-02-11 04:05:00+00:00,2018-02-11 04:30:00+00:00,6,BTC_USDT,5m
2018-06-26 02:00:00+00:00,2018-06-26 11:55:00+00:00,120,BTC_USDT,5m
2018-06-27 13:00:00+00:00,2018-06-27 14:40:00+00:00,21,BTC_USDT,5m
2018-07-04 00:25:00+00:00,2018-07-04 07:55:00+00:00,91,BTC_USDT,5m
2018-10-19 06:00:00+00:00,2018-10-19 09:25:00+00:00,42,BTC_USDT,5m
2018-11-14 02:00:00+00:00,2018-11-14 08:55:00+00:00,84,BTC_USDT,5m
2019-03-12 02:00:00+00:00,2019-03-12 07:55:00+00:00,72,BTC_USDT,5m
2019-05-15 03:00:00+00:00,2019-05-15 12:55:00+00:00,120,BTC_USDT,5m
2019-06-07 21:15:00+00:00,2019-06-07 22:10:00+00:00,12,BTC_USDT,5m
2019-08-15 02:00:00+00:00,2019-08-15 09:55:00+00:00,96,BTC_USDT,5m
2019-11-13 02:00:00+00:00,2019-11-13 04:15:00+00:00,28,BTC_USDT,5m
2019-11-25 02:00:00+00:00,2019-11-25 03:55:00+00:00,24,BTC_USDT,5m
2020-02-09 02:00:00+00:00,2020-02-09 02:55:00+00:00,12,BTC_USDT,5m
2020-02-19 11:40:00+00:00,2020-02-19 17:25:00+00:00,70,BTC_USDT,5m
2020-03-04 09:25:00+00:00,2020-03-04 11:25:00+00:00,25,BTC_USDT,5m
2020-04-25 02:00:00+00:00,2020-04-25 04:25:00+00:00,30,BTC_USDT,5m
2020-06-28 02:00:00+00:00,2020-06-28 05:25:00+00:00,42,BTC_USDT,5m
2020-11-30 06:00:00+00:00,2020-11-30 06:55:00+00:00,12,BTC_USDT,5m
2020-12-21 13:50:00+00:00,2020-12-21 17:55:00+00:00,50,BTC_USDT,5m
2020-12-25 02:00:00+00:00,2020-12-25 02:55:00+00:00,12,BTC_USDT,5m
2021-02-11 03:45:00+00:00,2021-02-11 04:55:00+00:00,15,BTC_USDT,5m
2021-03-06 02:00:00+00:00,2021-03-06 03:25:00+00:00,18,BTC_USDT,5m
2021-04-20 02:00:00+00:00,2021-04-20 04:25:00+00:00,30,BTC_USDT,5m
2021-04-25 04:05:00+00:00,2021-04-25 08:40:00+00:00,56,BTC_USDT,5m
2021-08-13 02:00:00+00:00,2021-08-13 06:25:00+00:00,54,BTC_USDT,5m
2021-09-29 07:00:00+00:00,2021-09-29 08:55:00+00:00,24,BTC_USDT,5m
2023-03-24 12:40:00+00:00,2023-03-24 13:55:00+00:00,16,BTC_USDT,5m
